Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
1/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 13, MALDONADO, SIN DATOS, 1, 660670, 6149040 
4/1/2020,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, SÁBADO, 0, SORIANO, SIN DATOS, 1, 408885, 6311780 
4/1/2020,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 6, FLORES, TRINIDAD, 1, 509440, 6291595 
6/1/2020,, AVENIDA APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, SORIANO, MERCEDES, 1, 403030, 6319555 
13/1/2020,, NO SE INGRESO, DESPISTE, LEVE, LUNES, 14, MALDONADO, SOLIS, 1, 648620, 6149500 
14/1/2020,,  AVENIDA COSTANERA PTE. T. BERRETA, CAÍDA, LEVE, MARTES, 3, SALTO, SALTO, 1, 407075, 6526705 
14/1/2020,, VEINTICINCO DE MAYO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 20, TACUAREMBO, TACUAREMBO, 1, 597125, 6491605 
15/1/2020,, NO SE INGRESO, DESPISTE, LEVE, MIÉRCOLES, 15, RIVERA, SIN DATOS, 1, 637025, 6573470 
16/1/2020,, RAMBLA REPUBLICA DE CHILE, ATROPELLO DE PEATÓN, LEVE, JUEVES, 8, MONTEVIDEO, MONTEVIDEO, 1, 580615, 6138015 
16/1/2020,, DEPARTAMENTAL F. HARRISON, ATROPELLO DE PEATÓN, LEVE, JUEVES, 11, FLORIDA, FLORIDA, 1, 571185, 6226360 
17/1/2020,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, VIERNES, 18, LAVALLEJA, SIN DATOS, 1, 705265, 6243575 
17/1/2020,, GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, ARTIGAS, ARTIGAS, 1, 551100, 6636575 
19/1/2020,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 14, CANELONES, CANELONES, 1, 565880, 6179440 
19/1/2020,, AVENIDA BALTASAR BRUM, DESPISTE, LEVE, DOMINGO, 19, ARTIGAS, ARTIGAS, 1, 551710, 6635505 
21/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 0, CANELONES, SIN DATOS, 1, 569450, 6159235 
21/1/2020,, IATA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 15, CANELONES, VILLA AEROPARQUE, 1, 591920, 6149575 
21/1/2020,, CALERA DE LAS HUERFANAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 19, MONTEVIDEO, MONTEVIDEO, 1, 569285, 6141165 
23/1/2020,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, JUEVES, 11, TREINTA Y TRES, SIN DATOS, 1, 731755, 6302350 
13/1/2020,, CORONEL CARBAJAL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, LAVALLEJA, MINAS, 1, 662220, 6195080 
13/1/2020,, NO SE INGRESO, CAÍDA, LEVE, LUNES, 11, COLONIA, SIN DATOS, 1, 379820, 6252140 
15/1/2020,, DOCTOR MORQUIO, CAÍDA, LEVE, MIÉRCOLES, 9, DURAZNO, DURAZNO, 1, 543990, 6306385 
16/1/2020,, AVENIDA WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 18, MALDONADO, MALDONADO, 1, 685580, 6137875 
16/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 0, RIVERA, SIN DATOS, 1, 638340, 6575570 
18/1/2020,, GENERAL LEANDRO GOMEZ, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 10, PAYSANDU, PAYSANDU, 1, 396965, 6423935 
19/1/2020,, DON BOSCO, CAÍDA, LEVE, DOMINGO, 7, SORIANO, MERCEDES, 1, 403535, 6319645 
19/1/2020,, CAMINO A TOPADOR, DESPISTE, GRAVE, DOMINGO, 10, ARTIGAS, SIN DATOS, 1, 519660, 6645950 
20/1/2020,, JUAN ORTIZ, CAÍDA, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578210, 6139260 
23/1/2020,, BRASIL, ATROPELLO DE ANIMALES, LEVE, JUEVES, 20, ROCHA, CHUY, 1, 828780, 6266250 
25/1/2020,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, MALDONADO, SAN CARLOS, 1, 690310, 6147985 
27/1/2020,, AV. CARLOS SEIJO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MALDONADO, SAN CARLOS, 1, 689785, 6147120 
16/1/2020,, AVENIDA GENERAL ARTIGAS, CAÍDA, GRAVE, JUEVES, 13, SALTO, CONSTITUCION, 1, 419000, 6562365 
16/1/2020,, NO SE INGRESO, DESPISTE, LEVE, JUEVES, 12, MALDONADO, LA CAPUERA, 1, 671955, 6140585 
17/1/2020,, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, ARTIGAS, ARTIGAS, 1, 550840, 6635830 
18/1/2020,, PUENTE VIEJO, CAÍDA, LEVE, SÁBADO, 0, DURAZNO, DURAZNO, 1, 544035, 6308840 
19/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 16, CANELONES, SOLYMAR, 1, 593115, 6146580 
12/1/2020,, CESAR BATLLE PACHECO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 578965, 6146690 
12/1/2020,, COSTANERA SUR TOMAS BERRETA FRENTE LOCAL BAILABLE LA BAMBOLA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 19, SALTO, SALTO, 1, 405790, 6525425 
14/1/2020,, ACONCAGUA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, MONTEVIDEO, MONTEVIDEO, 1, 582700, 6138305 
15/1/2020,, NACIONES UNIDAS Y AV ENRIQUE CHAPLIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, PAYSANDU, PAYSANDU, 1, 399945, 6420895 
16/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 9, CANELONES, SIN DATOS, 1, 594815, 6147620 
30/1/2020,, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, MONTEVIDEO, MONTEVIDEO, 1, 578780, 6147255 
1/2/2020,, AVENIDA DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 0, PAYSANDU, PAYSANDU, 1, 397660, 6423940 
1/2/2020,, AVENIDA GENERAL RIVERA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 11, MONTEVIDEO, MONTEVIDEO, 1, 578710, 6137570 
3/2/2020,, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, RIVERA, RIVERA, 1, 638205, 6580945 
3/2/2020,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, RIO NEGRO, FRAY BENTOS, 1, 377730, 6335350 
21/1/2020,,  AVENIDA GABRIELA MISTRAL --BARRA DE CARRASCO--, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 21, CANELONES, BARRA DE CARRASCO, 1, 588560, 6141495 
