Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
4/12/2021,, CAMINO BALTASAR BURM, DESPISTE, LEVE, SÁBADO, 3, SALTO, SIN DATOS, 1, 449045, 6577055 
20/11/2021,, DIECIOCHO DE JULIO, CAÍDA, LEVE, SÁBADO, 17, COLONIA, COLONIA DEL SACRAMENTO, 1, 422095, 6185235 
1/12/2021,, BULEVAR GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, RIO NEGRO, FRAY BENTOS, 1, 379755, 6332595 
7/12/2021,, GUSTAVO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, DURAZNO, DURAZNO, 1, 544565, 6305260 
19/12/2021,, AVENIDA GOBERNADOR DE VIANA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 20, SALTO, SALTO, 1, 410050, 6526715 
17/12/2021,, SANTIN CARLOS ROSSI, CAÍDA, GRAVE, VIERNES, 4, TACUAREMBO, PASO DE LOS TOROS, 1, 544450, 6370585 
21/11/2021,, RUT6A 109 Y 39, CAÍDA, SIN LESIONADOS, DOMINGO, 21, MALDONADO, AIGUA, 1, 706740, 6212115 
4/12/2021,, SIN DATOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, SÁBADO, 10, COLONIA, SIN DATOS, 1, 446210, 6193820 
1/12/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, SAN JOSE, SAN JOSE DE MAYO, 1, 526115, 6200780 
6/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, SAN JOSE, SAN JOSE DE MAYO, 1, 525445, 6197750 
16/10/2021,, DOCTOR JULIAN GRAÑA, CAÍDA, LEVE, SÁBADO, 7, ROCHA, ROCHA, 1, 744690, 6181020 
6/9/2021,, CALLE 54 LOS JINETES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 10, MALDONADO, BALNEARIO BUENOS AIRES, 1, 701625, 6137855 
8/11/2021,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 8, COLONIA, CARMELO, 1, 381480, 6236965 
31/8/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 17, CANELONES, SIN DATOS, 1, 615045, 6152680 
22/10/2021,, LUCAS OBES, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 573300, 6141575 
26/7/2021,, AVENIDA AIGUA, ATROPELLO DE PEATÓN, LEVE, LUNES, 20, MALDONADO, MALDONADO, 1, 687430, 6135225 
15/8/2021,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 18, FLORES, TRINIDAD, 1, 509730, 6291485 
29/8/2021,, RUTA 45 KM 94, DESPISTE, SIN LESIONADOS, DOMINGO, 5, SAN JOSE, SIN DATOS, 1, 544565, 6204630 
11/11/2021,, JOSE BATLLE Y ORDOÑEZ, CAÍDA, LEVE, JUEVES, 19, TACUAREMBO, TACUAREMBO, 1, 597485, 6489400 
20/7/2021,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 16, LAVALLEJA, MARISCALA, 1, 705280, 6231155 
27/10/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 18, SORIANO, MERCEDES, 1, 404010, 6321080 
16/9/2021,, CAMINO CARRASCO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 16, MONTEVIDEO, MONTEVIDEO, 1, 584965, 6140960 
11/9/2021,, GALICIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, MONTEVIDEO, MONTEVIDEO, 1, 574695, 6137920 
3/10/2021,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 20, RIO NEGRO, FRAY BENTOS, 1, 377945, 6334830 
17/10/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, DOMINGO, 7, MONTEVIDEO, SIN DATOS, 1, 560205, 6146210 
6/12/2021,, GENERAL PABLO GALARZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, DURAZNO, DURAZNO, 1, 543980, 6305920 
24/12/2021,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, PAYSANDU, PAYSANDU, 1, 399390, 6425240 
20/11/2021,, AVENIDA BRASIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, RIVERA, RIVERA, 1, 639155, 6580340 
27/11/2021,, AV. MARTINIANO CHIOSSI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 23, MALDONADO, PUNTA DEL ESTE, 1, 687020, 6133925 
5/12/2021,, AVENIDA BURGUES, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 23, MONTEVIDEO, MONTEVIDEO, 1, 574420, 6140735 
26/12/2021,, JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 23, CANELONES, CANELONES, 1, 565915, 6179925 
28/12/2021,, FRANCISCO ACUÑA DE FIGUEROA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, SALTO, SALTO, 1, 407955, 6526175 
31/12/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, COLONIA, JUAN LACAZE, 1, 459340, 6189980 
9/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 21, SAN JOSE, SIN DATOS, 1, 542350, 6193190 
20/11/2021,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 7, MALDONADO, SAN CARLOS, 1, 690310, 6147985 
21/11/2021,, CARLOS DE LA VEGA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 570295, 6143015 
27/11/2021,, RUTA 77 KM .500, CAÍDA, LEVE, SÁBADO, 15, FLORIDA, SIN DATOS, 1, 556140, 6206035 
22/11/2021,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 568305, 6140640 
21/12/2021,, FRANCISCO SERRALTA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 8, RIVERA, MANDUBI, 1, 637960, 6577245 
8/12/2021,, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, CANELONES, PANDO, 1, 595070, 6157840 
21/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, RIVERA, SIN DATOS, 1, 625220, 6513245 
20/12/2021,, CORACEROS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 12, MONTEVIDEO, MONTEVIDEO, 1, 572105, 6141030 
22/12/2021,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 18, CANELONES, CANELONES, 1, 565895, 6179535 
19/11/2021,, SARANDI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 7, PAYSANDU, PAYSANDU, 1, 397135, 6423820 
19/11/2021,, AVENIDA BURGUES, DESPISTE, LEVE, VIERNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 575340, 6143525 
3/12/2021,, PARALELA AL SUR, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CANELONES, EL PINAR, 1, 599495, 6148895 
22/12/2021,, AVENIDA ESPAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, CERRO LARGO, MELO, 1, 765195, 6415150 
26/12/2021,, AVENIDA MILLAN, CAÍDA, LEVE, DOMINGO, 20, MONTEVIDEO, MONTEVIDEO, 1, 570720, 6145360 
