Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
2/8/2022,, ALEJANDRO GALLINAL, CAÍDA, LEVE, MARTES, 19, FLORIDA, FLORIDA, 1, 571985, 6226860 
12/11/2022,, DOCTOR RICARDO BRACERAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 9, SORIANO, MERCEDES, 1, 403810, 6319390 
3/8/2022,, BERNA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 21, COLONIA, NUEVA HELVECIA, 1, 478670, 6206480 
29/8/2022,, ANSINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, FLORES, TRINIDAD, 1, 508780, 6290435 
5/8/2022,, AVENIDA AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 572705, 6141115 
26/8/2022,, JUAN CABAL, CAÍDA, LEVE, VIERNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 576670, 6140190 
29/9/2022,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 11, MONTEVIDEO, MONTEVIDEO, 1, 576355, 6140955 
4/10/2022,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, MONTEVIDEO, MONTEVIDEO, 1, 572000, 6140640 
14/11/2022,, SIN DATOS, DESPISTE, LEVE, LUNES, 5, SORIANO, MERCEDES, 1, 403725, 6318635 
24/7/2022,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, CAÍDA, LEVE, DOMINGO, 5, MONTEVIDEO, MONTEVIDEO, 1, 577945, 6139940 
25/7/2022,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, COLONIA, ROSARIO, 1, 467880, 6202490 
18/8/2022,, MALDONADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, MONTEVIDEO, MONTEVIDEO, 1, 573035, 6136610 
8/12/2022,, SIN DATOS, DESPISTE, LEVE, JUEVES, 7, LAVALLEJA, SIN DATOS, 1, 634310, 6201065 
28/11/2022,, BOULEVARD GENERAL ARTIGAS, ATROPELLO DE PEATÓN, GRAVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 576460, 6136215 
10/7/2022,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 11, MONTEVIDEO, MONTEVIDEO, 1, 573045, 6144550 
11/9/2022,, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, CANELONES, BARROS BLANCOS, 1, 589190, 6151980 
16/7/2022,, FLORENTINO RUBIO, CAÍDA, LEVE, SÁBADO, 1, ROCHA, CASTILLOS, 1, 788615, 6210650 
9/10/2022,, MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 17, DURAZNO, DURAZNO, 1, 544065, 6305875 
