Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
24/3/2021,, CALLE 8 ESQ CALLE 4, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 12, CANELONES, VILLA EL TATO, 1, 593890, 6151445 
24/3/2021,, RUTA 101 KM 30.000, DESPISTE, FATAL, MIÉRCOLES, 17, CANELONES, BARROS BLANCOS, 1, 593765, 6153405 
25/3/2021,, RUTA 3 KM 176.400, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 21, FLORES, SIN DATOS, 1, 513405, 6279475 
6/1/2021,, CAMINO RIVERA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MIÉRCOLES, 13, CANELONES, FRACC. CNO. ANDALUZ Y R.84, 1, 585010, 6153595 
5/1/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, MARTES, 14, COLONIA, SIN DATOS, 1, 386040, 6259190 
1/1/2021,, AVENIDA GOBERNADOR DE VIANA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, SALTO, SALTO, 1, 410040, 6526590 
7/1/2021,, MACIEL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 12, SALTO, SALTO, 1, 409315, 6528495 
4/1/2021,, PORONGOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, LUNES, 5, FLORES, SIN DATOS, 1, 510470, 6292530 
4/1/2021,, AVENIDA GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 578215, 6145140 
2/1/2021,, BOULEVARD JOSE GERVASIO ARTIGAS, CAÍDA, LEVE, SÁBADO, 15, TACUAREMBO, PASO DE LOS TOROS, 1, 546015, 6369480 
4/1/2021,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 573895, 6143930 
6/1/2021,, MONTE CASEROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, MONTEVIDEO, MONTEVIDEO, 1, 577070, 6139915 
8/1/2021,, RAMBLA CLAUDIO WILLIMAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MALDONADO, PUNTA DEL ESTE, 1, 688105, 6130430 
2/1/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, SALTO, SALTO, 1, 407805, 6526965 
8/1/2021,, RESALSERO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 3, MALDONADO, PUNTA DEL ESTE, 1, 687975, 6129125 
2/1/2021,, AVENIDA APARICIO SARAVIA, CAÍDA, LEVE, SÁBADO, 14, MALDONADO, MALDONADO, 1, 687980, 6134820 
2/1/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, CANELONES, SIN DATOS, 1, 615765, 6153020 
3/1/2021,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 11, MONTEVIDEO, MONTEVIDEO, 1, 570845, 6142525 
2/1/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, CANELONES, BARROS BLANCOS, 1, 590650, 6153360 
1/1/2021,, DOCTOR JUAN DARIO SILVA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 1, CERRO LARGO, MELO, 1, 766005, 6415125 
4/1/2021,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, PAYSANDU, PAYSANDU, 1, 399140, 6423365 
6/1/2021,, CAMINI A CASA BLANCA Y AVENIA AL HIPODROMO, CAÍDA, LEVE, MIÉRCOLES, 22, PAYSANDU, SIN DATOS, 1, 397180, 6421945 
5/1/2021,, AV. ORLANDO PEDRAGOSA SIERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 21, MALDONADO, PUNTA DEL ESTE, 1, 688680, 6131210 
5/1/2021,, JOAQUIN ARTIGAS, DESPISTE, SIN LESIONADOS, MARTES, 20, TREINTA Y TRES, TREINTA Y TRES, 1, 744295, 6320660 
