Departamento,Gravedad,X,Y
2,0,571790.0,6156740.0
17,0,544110.0,6307240.0
4,0,789610.0,6211305.0
3,0,655350.0,6143920.0
13,0,421940.0,6188580.0
1,1,560015.0,6150620.0
2,0,566055.0,6179235.0
1,0,580095.0,6144730.0
1,0,566615.0,6140820.0
1,0,582915.0,6138385.0
3,0,688070.0,6133280.0
3,0,684715.0,6137550.0
1,0,574875.0,6143035.0
4,0,763490.0,6170260.0
3,0,660725.0,6140220.0
14,0,534240.0,6167530.0
3,0,688945.0,6131445.0
2,0,565800.0,6179635.0
1,0,576700.0,6138520.0
1,0,567230.0,6144660.0
3,0,687580.0,6132460.0
5,0,768140.0,6444355.0
2,0,578355.0,6191850.0
3,0,685240.0,6137820.0
2,0,571850.0,6158735.0
2,0,571840.0,6159905.0
1,0,575195.0,6137825.0
1,0,578140.0,6137230.0
3,0,690635.0,6132150.0
10,0,398640.0,6423810.0
10,0,408840.0,6415785.0
5,0,767050.0,6416285.0
13,0,422305.0,6187070.0
10,0,397655.0,6424390.0
3,0,687490.0,6135685.0
3,1,686985.0,6136110.0
17,1,628645.0,6311400.0
9,0,409325.0,6527505.0
1,0,573800.0,6137935.0
1,0,568335.0,6141775.0
1,0,576100.0,6138040.0
3,0,657330.0,6141020.0
1,0,574805.0,6142925.0
2,0,571645.0,6161970.0
1,0,574770.0,6139650.0
2,0,578180.0,6190855.0
10,0,399065.0,6422775.0
1,0,573325.0,6142060.0
1,0,580045.0,6144155.0
3,0,681865.0,6135210.0
19,0,597050.0,6491090.0
9,0,407520.0,6526860.0
12,0,386465.0,6288880.0
13,0,447940.0,6194355.0
1,0,572755.0,6137180.0
1,0,576430.0,6138460.0
2,0,604690.0,6151045.0
2,0,555755.0,6187675.0
3,0,693385.0,6148570.0
3,0,687000.0,6134140.0
5,1,687020.0,6373595.0
4,0,744565.0,6181320.0
9,0,415945.0,6527670.0
1,0,579940.0,6137155.0
1,0,574435.0,6139345.0
8,0,496085.0,6633685.0
9,0,407140.0,6528390.0
4,0,745120.0,6179615.0
3,0,688720.0,6130865.0
12,0,374325.0,6282080.0
17,0,545405.0,6308390.0
10,0,397555.0,6424405.0
3,0,688055.0,6129370.0
1,0,571260.0,6141785.0
1,0,575555.0,6140110.0
3,1,688440.0,6130380.0
3,0,686990.0,6134710.0
16,0,571965.0,6228220.0
1,0,578055.0,6140140.0
3,1,661810.0,6149970.0
7,0,637845.0,6573405.0
3,0,725380.0,6161450.0
1,0,574045.0,6138835.0
1,0,582135.0,6146075.0
1,0,579180.0,6140750.0
3,0,688040.0,6134620.0
3,0,687075.0,6137095.0
1,0,580095.0,6140705.0
3,0,688015.0,6130845.0
2,0,591040.0,6148365.0
1,0,577510.0,6149130.0
15,0,490980.0,6240795.0
3,0,685430.0,6137900.0
1,0,583740.0,6139560.0
3,0,690340.0,6148435.0
1,0,574090.0,6137010.0
